,pos,neg,senti_score,label
521,3,2,1,1.0
522,3,2,1,1.0
523,1,0,1,1.0
524,2,1,1,1.0
525,6,4,2,1.0
526,3,3,0,1.0
527,0,1,-1,0.0
528,26,29,-3,0.0
529,0,2,-2,0.0
530,4,0,4,1.0
531,15,19,-4,0.0
532,1,2,-1,0.0
533,18,20,-2,0.0
534,7,2,5,1.0
535,3,6,-3,0.0
536,2,2,0,1.0
537,0,0,0,1.0
538,24,16,8,1.0
539,2,0,2,1.0
540,6,9,-3,0.0
541,1,1,0,1.0
542,6,7,-1,0.0
543,2,4,-2,0.0
544,5,1,4,1.0
545,5,15,-10,0.0
546,2,0,2,1.0
547,2,0,2,1.0
548,8,8,0,1.0
549,0,3,-3,0.0
550,6,6,0,1.0
551,7,2,5,1.0
552,9,6,3,1.0
553,3,2,1,1.0
554,2,0,2,1.0
555,13,7,6,1.0
556,3,0,3,1.0
557,15,11,4,1.0
558,3,4,-1,0.0
559,3,4,-1,0.0
560,11,10,1,1.0
561,3,2,1,1.0
562,0,0,0,1.0
563,1,1,0,1.0
564,11,9,2,1.0
565,1,0,1,1.0
566,3,2,1,1.0
567,3,1,2,1.0
568,0,0,0,1.0
569,5,3,2,1.0
570,4,2,2,1.0
571,5,3,2,1.0
572,11,11,0,1.0
573,18,8,10,1.0
574,0,0,0,1.0
575,3,3,0,1.0
576,9,14,-5,0.0
577,3,6,-3,0.0
578,16,20,-4,0.0
579,6,4,2,1.0
580,2,1,1,1.0
581,3,2,1,1.0
582,9,4,5,1.0
583,2,4,-2,0.0
584,2,3,-1,0.0
585,9,4,5,1.0
586,0,0,0,1.0
587,9,7,2,1.0
588,3,2,1,1.0
589,0,0,0,1.0
590,9,4,5,1.0
591,3,2,1,1.0
592,2,3,-1,0.0
593,24,11,13,1.0
594,5,5,0,1.0
595,22,21,1,1.0
596,5,11,-6,0.0
597,5,5,0,1.0
598,10,8,2,1.0
599,4,1,3,1.0
600,4,4,0,1.0
601,9,15,-6,0.0
602,4,5,-1,0.0
603,0,1,-1,0.0
604,9,4,5,1.0
605,4,4,0,1.0
606,3,2,1,1.0
607,0,1,-1,0.0
608,0,1,-1,0.0
609,5,3,2,1.0
610,16,26,-10,0.0
611,7,2,5,1.0
612,7,4,3,1.0
613,3,3,0,1.0
614,1,1,0,1.0
615,7,11,-4,0.0
616,25,10,15,1.0
617,4,4,0,1.0
618,0,0,0,1.0
619,13,11,2,1.0
620,1,3,-2,0.0
621,7,3,4,1.0
622,11,9,2,1.0
623,3,2,1,1.0
624,0,1,-1,0.0
625,30,18,12,1.0
626,2,3,-1,0.0
627,6,4,2,1.0
628,6,7,-1,0.0
629,26,26,0,1.0
630,4,2,2,1.0
631,5,1,4,1.0
632,3,3,0,1.0
633,2,1,1,1.0
634,4,3,1,1.0
635,5,2,3,1.0
636,7,9,-2,0.0
637,4,7,-3,0.0
638,0,0,0,1.0
639,5,5,0,1.0
640,1,1,0,1.0
641,8,6,2,1.0
642,9,15,-6,0.0
643,16,9,7,1.0
644,13,11,2,1.0
645,9,10,-1,0.0
646,4,5,-1,0.0
647,11,4,7,1.0
648,5,2,3,1.0
649,2,6,-4,0.0
650,12,3,9,1.0
651,7,4,3,1.0
652,0,0,0,1.0
653,15,12,3,1.0
654,5,3,2,1.0
655,2,1,1,1.0
656,9,8,1,1.0
657,6,7,-1,0.0
658,6,4,2,1.0
659,6,4,2,1.0
660,11,7,4,1.0
661,5,4,1,1.0
662,5,3,2,1.0
663,10,4,6,1.0
664,3,1,2,1.0
665,10,8,2,1.0
666,17,17,0,1.0
667,7,7,0,1.0
668,9,3,6,1.0
669,1,2,-1,0.0
670,5,7,-2,0.0
671,2,3,-1,0.0
672,3,2,1,1.0
673,8,5,3,1.0
674,6,5,1,1.0
675,6,7,-1,0.0
676,9,8,1,1.0
677,4,3,1,1.0
678,19,28,-9,0.0
679,4,4,0,1.0
680,4,2,2,1.0
681,6,2,4,1.0
682,1,2,-1,0.0
683,3,3,0,1.0
684,8,7,1,1.0
685,0,0,0,1.0
686,5,1,4,1.0
687,18,19,-1,0.0
688,1,1,0,1.0
689,12,12,0,1.0
690,2,1,1,1.0
691,11,6,5,1.0
692,4,3,1,1.0
693,1,3,-2,0.0
694,14,13,1,1.0
695,7,6,1,1.0
696,2,1,1,1.0
697,7,4,3,1.0
698,3,5,-2,0.0
699,0,1,-1,0.0
700,2,5,-3,0.0
701,7,3,4,1.0
702,11,7,4,1.0
703,5,5,0,1.0
704,8,4,4,1.0
705,6,6,0,1.0
706,2,1,1,1.0
707,9,0,9,1.0
708,9,2,7,1.0
709,3,3,0,1.0
710,12,6,6,1.0
711,1,0,1,1.0
712,12,12,0,1.0
713,8,9,-1,0.0
714,9,11,-2,0.0
715,4,5,-1,0.0
716,11,9,2,1.0
717,17,14,3,1.0
718,12,8,4,1.0
719,7,8,-1,0.0
720,9,6,3,1.0
721,21,23,-2,0.0
722,3,1,2,1.0
723,3,7,-4,0.0
724,7,8,-1,0.0
725,4,5,-1,0.0
726,4,3,1,1.0
727,5,11,-6,0.0
728,13,16,-3,0.0
729,10,10,0,1.0
730,0,0,0,1.0
731,3,2,1,1.0
732,4,5,-1,0.0
733,12,9,3,1.0
734,3,2,1,1.0
735,0,0,0,1.0
736,6,7,-1,0.0
737,12,20,-8,0.0
738,4,4,0,1.0
739,23,20,3,1.0
740,3,5,-2,0.0
741,12,16,-4,0.0
742,8,4,4,1.0
743,0,1,-1,0.0
744,0,0,0,1.0
745,10,7,3,1.0
746,0,1,-1,0.0
747,7,12,-5,0.0
748,12,5,7,1.0
749,7,6,1,1.0
750,2,4,-2,0.0
751,11,5,6,1.0
752,2,3,-1,0.0
753,0,0,0,1.0
754,35,20,15,1.0
755,6,3,3,1.0
756,1,1,0,1.0
757,4,3,1,1.0
758,0,2,-2,0.0
759,1,0,1,1.0
760,5,5,0,1.0
761,23,30,-7,0.0
762,3,2,1,1.0
763,1,0,1,1.0
764,24,24,0,1.0
765,1,3,-2,0.0
766,17,8,9,1.0
767,13,12,1,1.0
768,5,3,2,1.0
769,11,6,5,1.0
770,8,4,4,1.0
771,3,2,1,1.0
772,9,6,3,1.0
773,9,5,4,1.0
774,9,8,1,1.0
775,9,7,2,1.0
776,4,6,-2,0.0
777,10,6,4,1.0
778,3,1,2,1.0
779,16,11,5,1.0
780,5,1,4,1.0
781,11,13,-2,0.0
782,11,12,-1,0.0
783,24,21,3,1.0
784,7,4,3,1.0
785,4,2,2,1.0
786,6,3,3,1.0
787,19,6,13,1.0
788,3,1,2,1.0
789,5,4,1,1.0
790,8,1,7,1.0
791,2,9,-7,0.0
792,5,0,5,1.0
793,32,16,16,1.0
794,8,1,7,1.0
795,1,1,0,1.0
796,1,1,0,1.0
797,1,0,1,1.0
798,3,2,1,1.0
799,6,9,-3,0.0
800,6,7,-1,0.0
801,3,7,-4,0.0
802,5,2,3,1.0
803,5,2,3,1.0
804,12,4,8,1.0
805,1,2,-1,0.0
806,1,0,1,1.0
807,10,12,-2,0.0
808,4,0,4,1.0
809,9,5,4,1.0
810,0,3,-3,0.0
811,3,2,1,1.0
812,11,14,-3,0.0
813,18,11,7,1.0
814,13,16,-3,0.0
815,2,1,1,1.0
816,11,8,3,1.0
817,15,12,3,1.0
818,7,7,0,1.0
819,4,1,3,1.0
820,6,2,4,1.0
821,0,0,0,1.0
822,2,1,1,1.0
823,0,0,0,1.0
824,0,0,0,1.0
825,9,2,7,1.0
826,14,9,5,1.0
827,1,0,1,1.0
828,1,1,0,1.0
829,9,13,-4,0.0
830,8,5,3,1.0
831,2,0,2,1.0
832,14,18,-4,0.0
833,1,0,1,1.0
834,18,30,-12,0.0
835,30,43,-13,0.0
836,0,1,-1,0.0
837,9,6,3,1.0
838,11,10,1,1.0
839,11,7,4,1.0
840,9,8,1,1.0
841,0,5,-5,0.0
842,15,3,12,1.0
843,7,2,5,1.0
844,6,4,2,1.0
845,5,2,3,1.0
846,3,1,2,1.0
847,5,2,3,1.0
848,1,0,1,1.0
849,13,14,-1,0.0
850,4,2,2,1.0
851,4,0,4,1.0
852,12,5,7,1.0
853,2,14,-12,0.0
854,4,3,1,1.0
855,6,3,3,1.0
856,19,19,0,1.0
857,8,13,-5,0.0
858,21,25,-4,0.0
859,5,11,-6,0.0
860,0,1,-1,0.0
861,9,12,-3,0.0
862,8,11,-3,0.0
863,10,2,8,1.0
864,5,6,-1,0.0
865,2,2,0,1.0
866,2,2,0,1.0
867,7,6,1,1.0
868,5,3,2,1.0
869,5,3,2,1.0
870,7,4,3,1.0
871,6,0,6,1.0
872,6,6,0,1.0
873,5,0,5,1.0
874,0,0,0,1.0
875,3,2,1,1.0
876,4,2,2,1.0
877,2,1,1,1.0
878,5,3,2,1.0
879,1,1,0,1.0
880,0,0,0,1.0
881,8,4,4,1.0
882,7,4,3,1.0
883,23,20,3,1.0
884,3,1,2,1.0
885,5,11,-6,0.0
886,5,5,0,1.0
887,4,2,2,1.0
888,6,1,5,1.0
889,1,2,-1,0.0
890,10,7,3,1.0
891,0,0,0,1.0
892,5,1,4,1.0
893,6,4,2,1.0
894,1,0,1,1.0
895,4,1,3,1.0
896,1,3,-2,0.0
897,8,5,3,1.0
898,10,8,2,1.0
899,11,7,4,1.0
900,1,2,-1,0.0
901,5,0,5,1.0
902,2,0,2,1.0
