,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN
1929,468601001,어수산,이문리구간, ,2.07,쉬움,37,26
1930,427802301,어음성산, , ,2.38,쉬움,42,29
1931,491107104,어점이,영남동구간, ,0.13,쉬움,2,2
1932,462301301,억불봉,구황-억불봉구간,생쇠골 야철지,2.8,쉬움,105,74
1933,468001401,억불산,우산리구간, ,0.79,쉬움,14,10
1934,482706101,억산,원서리구간, ,1.92,중간,72,50
1935,301104901,언애바위산,자양동구간, ,0.28,쉬움,5,3
1936,488604101,엄혜산,하정리구간, ,1.13,쉬움,20,14
1937,413700801,여계산,궐동구간, ,0.1,쉬움,2,1
1938,468102001,여계산,대구면 사당리구간,평화약수터,1.3,쉬움,23,16
1939,469001601,여귀산,상만리구간,혼바위쉼터,1.17,쉬움,21,14
1940,457701901,여분산,운복리 밤재-방화리 문치구간, ,3.28,쉬움,58,41
1941,491107204,여쩌리,신흥리구간, ,0.67,쉬움,12,8
1942,415903901,여치산,백곡리구간, ,0.16,쉬움,3,2
1943,482201701,여항산,문화동구간, ,0.5,쉬움,9,7
1944,487301501,여항산,여양리구간, ,1.94,쉬움,34,24
1945,113800704,역촌근린공원,구산동구간, ,0.17,쉬움,3,2
1946,428307504,연내골,갈천리구간, ,0.78,쉬움,14,10
1947,267101201,연대봉,임도구간, ,1.48,쉬움,26,18
1948,447702601,연모리산,원수리구간, ,0.19,쉬움,3,2
1949,441502401,연미산, , ,0.05,쉬움,1,1
1950,471904701,연봉산,거의동구간, ,0.9,쉬움,16,11
1951,457102001,연석산,연동마을주차장구간,연동마을(주차장)~산지당~정상,2.58,쉬움,46,32
1952,442101901,연암산,대곡리구간, ,1.26,쉬움,38,26
1953,418202901,연인산, , ,1.71,쉬움,30,21
1954,477502101,연점산, , ,0.62,쉬움,11,8
1955,468402301,연징산,성남리구간, ,1.83,쉬움,32,23
1956,422309904,연추골계곡,하정리구간, ,0.45,쉬움,8,6
1957,272601401,연호산,만촌동구간, ,0.4,쉬움,7,5
1958,421903701,연화봉,대현리구간, ,1.26,쉬움,22,16
1959,421901801,연화산,황지동구간, ,1.43,중간,54,38
1960,488205101,연화산,북평리구간, ,1.86,쉬움,70,49
1961,488702501,연화산,화산리구간, ,0.56,쉬움,11,7
1962,421903801,연화산투구봉,황지동구간, ,0.62,쉬움,11,8
1963,491102503,열안지오름,봉개동구간, ,0.06,쉬움,1,1
1964,491107304,열안지오름,오라이동구간, ,1.84,쉬움,32,23
1965,482703101,열왕산,조천리구간, ,3.3,쉬움,58,41
1966,483301201,염수봉,대리구간, ,1.47,쉬움,26,18
1967,115000801,염창산,염창동구간, ,0.13,쉬움,2,2
1968,311700401,염포산,서부동구간, ,0.55,쉬움,10,7
1969,422300204,영경묘,하사전리구간, ,0.05,쉬움,1,1
1970,471706001,영남산,상아동구간, ,0.71,쉬움,13,9
1971,317100104,영남알프스둘레길,운문령-상운산-가지산-운문산-억산-북암산-인곡마을-?, ,102.87,쉬움,1815,1271
1972,414604401,영문산,유방동구간, ,0.31,쉬움,5,4
1973,451302601,영병산,어은리구간, ,0.3,쉬움,5,4
1974,478401801,영암산,용봉리구간, ,2.14,쉬움,38,26
1975,422302104,영은사뒷산,궁촌리구간, ,0.84,쉬움,15,10
1976,442002401,영인산,서원리구간, ,2.27,쉬움,40,28
1977,411300101,영장산,태평동구간, ,0.13,쉬움,2,2
1978,491302601,영주산,성읍리구간, ,2.35,쉬움,41,29
1979,491303001,영천악, , ,0.62,쉬움,11,8
1980,311401001,영축산,무거동구간, ,0.78,쉬움,14,10
1981,483301301,영축산,방기리구간, ,2.18,쉬움,82,57
1982,487404001,영축산,영축산~구봉사구간,법성사/충효사,3.21,쉬움,57,40
1983,461303201,영취산,월내동구간, ,0.82,중간,21,14
1984,478401901,영취산,문방리구간, ,1.36,쉬움,24,17
1985,457403501,영태산,동화리구간, ,1.55,쉬움,27,19
1986,413601201,예봉산,팔당리구간, ,0.11,쉬움,2,1
1987,467902701,예성산, , ,0.27,쉬움,5,3
1988,491107404,예촌망,하례리구간, ,0.59,쉬움,10,7
1989,416702701,오갑산, , ,0.08,쉬움,1,1
1990,437702801,오갑산,모점리구간, ,1.81,쉬움,32,22
1991,457403701,오계치깃대봉,송천리 서구이재-비룡리 와룡자연휴양림구간,서구이재,6.04,쉬움,107,75
1992,441506904,오곡3555,기산리구간, ,1.4,쉬움,42,29
1993,491107504,오구시오름,오등동구간, ,0.2,쉬움,4,2
1994,447102201,오대산,행정리구간, ,3.6,쉬움,68,47
1995,421504602,오대산_노인봉,삼산리구간, ,0.21,쉬움,4,3
1996,317104601,오두산, , ,3.11,쉬움,55,38
1997,488803401,오두산,산제치길구간, ,0.71,쉬움,13,9
1998,468601704,오두재,산내리구간, ,2.07,쉬움,37,26
1999,491107604,오드싱오름,오등동구간, ,0.46,쉬움,8,6
2000,301701001,오량산,복수동구간, ,0.04,쉬움,1,0
2001,427503801,오로산, , ,0.21,쉬움,4,3
2002,427204901,오룡산,검율리구간, ,1.84,쉬움,32,23
2003,468402401,오룡산,임성리구간, ,0.85,쉬움,15,11
2004,301105004,오리골,신상동구간, ,0.13,쉬움,2,2
2005,282000601,오봉산, , ,0.02,쉬움,1,0
2006,302001101,오봉산,봉산동구간, ,0.2,쉬움,4,2
2007,412201701,오봉산,양교리구간, ,0.05,쉬움,1,1
2008,414300701,오봉산,이동구간, ,2.36,쉬움,42,29
2009,421103801,오봉산, , ,1.19,쉬움,21,15
2010,421507101,오봉산,어흘리구간, ,2.77,쉬움,69,48
2011,422305201,오봉산, , ,0.88,쉬움,16,11
2012,447301401,오봉산,오봉산입구구간,사찰,1.32,쉬움,25,17
2013,447901601,오봉산,봉암리구간, ,5.43,쉬움,96,67
2014,451103201,오봉산,백여리구간, ,0.88,쉬움,16,11
2015,457102201,오봉산,백여리구간, ,0.45,쉬움,8,6
2016,457501901,오봉산,삼길리구간, ,2.52,쉬움,63,44
2017,461501901,오봉산,용능리구간, ,3.32,쉬움,59,41
2018,467801001,오봉산, , ,0.03,중간,1,0
2019,467802301,오봉산,해평리구간, ,2.72,쉬움,48,34
2020,469001801,오봉산,죽림리구간, ,0.18,쉬움,3,2
2021,471304301,오봉산,송선리구간, ,0.49,쉬움,9,6
2022,472503201,오봉산,신흥리 서당마-신흥리 돗질구간, ,1.08,쉬움,19,13
2023,483301501,오봉산,화제리구간, ,1.22,중간,46,32
2024,487301601,오봉산, , ,4.58,쉬움,81,57
2025,447301501,오산,진의리 오산입구구간, ,1.3,쉬움,23,16
2026,467301201,오산,죽마리구간, ,2.85,쉬움,50,35
2027,441801701,오서산, , ,0.4,중간,8,5
2028,441803404,오서산성동,황룡리구간, ,2.06,쉬움,36,25
2029,447902404,오서산이봉걸골,수정리구간, ,1.29,쉬움,23,16
2030,447701201,오석산,사곡리구간, ,0.34,쉬움,6,4
2031,451302701,오성산,서포리구간, ,1.69,쉬움,30,21
2032,461502001,오성산,행정리구간, ,7.35,쉬움,276,193
2033,451304901,오식도산,오식도동구간, ,0.06,쉬움,1,1
2034,422300304,오십천산책로, , ,0.24,쉬움,4,3
2035,428204504,오얏골,거진읍 용하리구간, ,0.92,쉬움,16,11
2036,427205201,오음산, , ,0.22,쉬움,4,3
2037,472802701,오정산,신현리구간, ,3.93,쉬움,69,49
2038,471904801,오태동산,오태동구간, ,0.5,쉬움,9,7
2039,481101404,옥계리야산,난포리구간, ,0.27,쉬움,5,3
2040,482703301,옥교산,용지리구간, ,0.78,쉬움,14,10
2041,263800401,옥녀봉,괴정동구간, ,1.83,쉬움,32,23
2042,427603801,옥녀봉,마지리구간, ,0.5,쉬움,9,6
2043,441507001,옥녀봉,대학리구간, ,2.23,쉬움,42,29
2044,441801801,옥녀봉,옥현리구간, ,0.19,쉬움,3,2
2045,447701301,옥녀봉,월호리구간, ,0.51,쉬움,9,6
2046,457102301,옥녀봉,죽림리구간, ,1.01,쉬움,18,12
2047,457202101,옥녀봉,봉학리구간, ,0.77,중간,19,13
2048,471102801,옥녀봉,우복리구간, ,0.23,쉬움,4,3
2049,479202401,옥녀봉,가곡리구간, ,0.06,쉬움,1,1
2050,481101501,옥녀봉,구복리구간, ,0.76,쉬움,14,10
2051,483104301,옥녀봉,소동리구간, ,1.24,쉬움,47,33
2052,483107001,옥녀봉,창호리구간, ,1.02,중간,38,27
2053,483107101,옥녀봉,연구리구간, ,0.58,쉬움,10,7
2054,487203001,옥녀봉,판곡마을-정상구간, ,1.39,쉬움,25,17
2055,461502101,옥녀산,도월리구간, ,0.43,쉬움,8,5
2056,461504001,옥녀산,대광리구간, ,3.57,쉬움,63,44
2057,471105604,옥녀암,암석/전석/토사구간,옥녀암자,0.56,쉬움,10,7
2058,441801901,옥마산,옥동리구간, ,4.54,쉬움,170,119
2059,262600701,옥봉산,명장동구간, ,0.08,쉬움,1,1
2060,418303001,옥산,한화리조트-정상구간, ,4.13,쉬움,73,51
2061,471105304,옥성리뒷산,죽장면 두마리-화북면 정각리구간, ,4.93,쉬움,92,65
2062,431504901,옥순봉구담봉,계란리구간, ,1.32,쉬움,23,16
2063,427704301,옥실골산,직전리구간, ,1.69,쉬움,30,21
2064,431106204,옥화자연휴양림,운암리구간, ,0.03,쉬움,1,0
2065,421105904,온의등산로,칠전동구간, ,0.6,쉬움,11,7
2066,467902901,옹성산, , ,0.27,쉬움,5,3
2067,277102301,와룡산, , ,0.15,중간,3,2
2068,471703401,와룡산,산야리구간, ,0.27,쉬움,5,3
2069,482401401,와룡산,백천동구간, ,1.23,쉬움,22,15
2070,271700204,와룡산무학사,202버스종점 가르뱅이구간, ,0.23,쉬움,4,3
2071,428306701,와리산,와리구간, ,0.38,쉬움,7,5
2072,427802404,와수리,육단리구간, ,0.66,쉬움,12,8
2073,483107601,와야봉,연사리구간, ,1.08,쉬움,19,13
2074,422305601,와우산,갈천동구간, ,0.08,쉬움,1,1
2075,441507101,와우산,신기동구간, ,0.44,쉬움,8,5
2076,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.05,쉬움,1,1
2077,427503901,완택산, , ,1.17,쉬움,21,14
2078,302001201,왕가산,유성 노은동구간, ,0.18,쉬움,3,2
2079,447701401,왕개산,원수리구간, ,0.13,쉬움,2,2
2080,479202701,왕두산,석현리구간, ,1.43,쉬움,25,18
2081,487402301,왕령산, , ,0.32,쉬움,6,4
2082,471703501,왕모산, , ,3.75,쉬움,66,46
2083,416502401,왕방산,탑동동구간, ,1.06,쉬움,19,13
2084,488604401,왕산,특리구간,동의보감 둘레길,0.79,쉬움,14,10
2085,472802901,왕의산,위만리구간, ,0.07,쉬움,1,1
2086,491107704,왕이메,광평리구간, ,0.35,쉬움,6,4
2087,461504101,왕이산,평화마을 옆 저수지-비래마을 갈림길구간, ,0.9,쉬움,16,11
2088,427706301,왕재산,유천리구간, ,3.1,쉬움,55,38
2089,421504701,왕제산,보광리 진입도로변-성산 용봉자동차학원뒤구간, ,2.24,쉬움,40,28
2090,483107201,왕조산,저구리구간, ,0.67,쉬움,14,10
2091,427706401,왕치산,반천리구간, ,3.37,쉬움,59,42
2092,487302901,외범이산,대송리구간, ,0, ,0,0
2093,428306801,외솔봉,중광정리구간, ,1.81,쉬움,32,22
2094,457202201,용강산,옥거리구간, ,0.96,쉬움,29,20
2095,461505601,용계산, , ,0, ,0,0
2096,301105104,용날등,용운동구간, ,1.17,쉬움,21,14
2097,491107804,용눈이오름,종달리구간, ,0.51,쉬움,9,6
2098,447702701,용달산,원수리구간, ,0.06,쉬움,1,1
2099,431503401,용두산,모산동구간, ,2.79,쉬움,49,34
2100,468001601,용두산,제산리구간, ,8.49,쉬움,182,127
2101,471703701,용두산,운곡리구간, ,1.55,쉬움,27,19
2102,481502001,용두산, , ,1.62,쉬움,29,20
2103,482503001,용두산, , ,0.11,쉬움,2,1
2104,112600501,용마산,면목7동구간, ,0.19,쉬움,3,2
2105,481502101,용마산, , ,0.09,쉬움,2,1
2106,414604901,용뫼산, , ,0.37,쉬움,7,5
2107,418303101,용문산,신점리구간, ,1.56,쉬움,28,19
2108,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.04,쉬움,1,0
2109,441502501,용산,대룡리구간, ,1.8,쉬움,34,24
2110,471103001,용산,용두리구간, ,3.08,쉬움,54,38
2111,482503101,용산,여차리구간, ,0.18,쉬움,3,2
2112,472901504,용산산성,용성면 곡신리구간,성벽,0.78,쉬움,14,10
